time,mean_tension,piece,rating1,rating2,rating3,rating4,rating5,rating6,rating7,rating8,rating9,rating10,rating11
0.0,,music/HCLTGlaQua.wav,,,,,,,,,,,
0.1,0.8189103600677222,music/HCLTGlaQua.wav,-0.08832793288048757,-0.23644232414761748,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,1.2054562918248508,1.738120591643682,1.8186425987669383,-0.587449484447304,0.9910272581421831,0.49123597216080783
0.2,0.8189103600677222,music/HCLTGlaQua.wav,-0.08832793288048757,-0.23644232414761748,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,1.2054562918248508,1.738120591643682,1.8186425987669383,-0.587449484447304,0.9910272581421831,0.49123597216080783
0.30000000000000004,0.8004185137277571,music/HCLTGlaQua.wav,-0.08832793288048757,-0.23644232414761748,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,1.1139109185692755,1.738120591643682,1.8186425987669383,-0.587449484447304,0.9910272581421831,0.49123597216080783
0.4,0.7343693274997904,music/HCLTGlaQua.wav,-0.08832793288048757,-0.23644232414761748,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,0.786929107488666,1.738120591643682,1.8186425987669383,-0.587449484447304,0.9910272581421831,0.49123597216080783
0.5,0.2788952764800007,music/HCLTGlaQua.wav,-0.08832793288048757,-0.23644232414761748,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.4679318318821832,1.738120591643682,1.8186425987669383,-0.587449484447304,0.9910272581421831,0.49123597216080783
0.6000000000000001,0.1888156107291234,music/HCLTGlaQua.wav,-0.08832793288048757,-0.466489947226338,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.683830842378884,1.738120591643682,1.8186425987669383,-0.587449484447304,0.9910272581421831,0.49123597216080783
0.7000000000000001,0.10668228472588757,music/HCLTGlaQua.wav,-0.15012008260929774,-0.8805800212219193,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.683830842378884,1.738120591643682,1.8186425987669383,-0.587449484447304,1.0603018426154376,0.49123597216080783
0.8,-0.4111984553423878,music/HCLTGlaQua.wav,-0.36586628230870377,-1.0590298342911857,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.683830842378884,1.738120591643682,1.8186425987669383,-0.587449484447304,-1.1093124196861697,0.49123597216080783
0.9,-1.1079784004241,music/HCLTGlaQua.wav,-0.3743719702628297,-1.1312447406414712,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.728773449308182,1.738120591643682,1.8186425987669383,-0.587449484447304,-4.433114403096874,0.49123597216080783
1.0,-1.258595605887649,music/HCLTGlaQua.wav,-0.381078846283906,-1.1504072150469984,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.7662881803712012,1.0908968908523438,1.8186425987669383,-0.587449484447304,-4.468149215902399,0.49123597216080783
1.1,-1.3327097360670987,music/HCLTGlaQua.wav,-0.5749877173597732,-1.1526517808229215,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.7614236132306456,0.4633234100385339,1.8186425987669383,-0.587449484447304,-4.016194830436874,0.49123597216080783
1.2000000000000002,-1.349404914725339,music/HCLTGlaQua.wav,-0.9364768297557685,-1.1526517808229215,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,0.033237143756172365,1.8186425987669383,-0.587449484447304,-3.510919685996526,0.49123597216080783
1.3,-1.3653190131438042,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-0.09493751971898061,1.8186425987669383,-0.587449484447304,-3.2564005164169023,0.49123597216080783
1.4000000000000001,-1.348462671498519,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-0.09493751971898061,1.8186425987669383,-0.587449484447304,-3.245905973398001,0.5641901048053032
1.5,-1.1580503706795284,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-0.26011954787988834,1.8186425987669383,-0.6435660648971839,-3.245905973398001,1.728140130178841
1.6,-1.3955071459032602,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.04341258721337411,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-1.3137616805428391,1.8186425987669383,-1.4419565804101042,-3.245905973398001,2.404623905609615
1.7000000000000002,-1.4876473175148806,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.37528598583570766,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-1.3889122607801019,1.8186425987669383,-1.5408213892642857,-3.245905973398001,2.454365359685407
1.8,-1.5406644141657997,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.6537993079607572,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-1.3889122607801019,1.8186425987669383,-1.534721760954516,-3.245905973398001,2.464313650500566
1.9000000000000001,-1.5706977603520422,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.7184910736155813,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-1.4297937318595866,1.8186425987669383,-1.534721760954516,-3.245905973398001,2.4212043903015457
2.0,-1.837756356107207,music/HCLTGlaQua.wav,-1.1416053606115018,-1.1526517808229215,-0.72286560845925,-1.5510759478685843,0.3163231949099862,-1.5577742043206597,-2.1108236520472827,1.8186425987669383,-1.534721760954516,-3.245905973398001,1.7845137781314055
