,time,rating1,rating2,rating3,rating4,rating5,rating6,rating7,rating8,rating9,rating10,rating11,rating12,rating13,rating14,rating15,rating16,rating17,rating18,rating19,rating20,rating21,rating22,rating23,rating24,piece,mean_tension
0,1970-01-01 00:00:00.100,0.7554036126534959,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-0.8738018603800369,0.34869190896508356,0.731603905950469,-1.5612901683910287,0.2541510714765868,-1.358847767898158,0.5028708767616624,2.4590353588174794,-0.4760470875334121,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-0.7920216806379331,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,0.07592602188724171
1,1970-01-01 00:00:00.200,0.7554036126534959,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-0.8738018603800369,0.34869190896508356,0.731603905950469,-1.5612901683910287,0.2541510714765868,-1.358847767898158,0.5028708767616624,2.4590353588174794,-0.4760470875334121,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-0.7920216806379331,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,0.07592602188724171
2,1970-01-01 00:00:00.300,0.7554036126534959,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-0.8738018603800369,0.34869190896508356,0.731603905950469,-1.5612901683910287,0.2541510714765868,-1.358847767898158,0.5028708767616624,2.2903933581537914,-0.4760470875334121,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-0.7920216806379331,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,0.06534310994793566
3,1970-01-01 00:00:00.400,0.7554036126534959,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-0.8615705088619674,0.34869190896508356,0.731603905950469,-1.5612901683910287,0.2541510714765868,-1.358847767898158,0.5028708767616624,1.0639076047129834,-0.4760470875334121,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-0.7920216806379331,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,-0.010855863954714497
4,1970-01-01 00:00:00.500,0.7554036126534959,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-1.4272705165726856,0.34869190896508356,0.731603905950469,-1.5543128998627938,0.2541510714765868,-1.358847767898158,0.5028708767616624,-0.6480626370188284,-0.4760470875334121,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-0.7920216806379331,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,-0.15335028268578088
5,1970-01-01 00:00:00.600,0.7554036126534959,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-1.708591601488286,0.34869190896508356,0.731603905950469,-1.5324872734455302,0.2541510714765868,-1.358847767898158,0.5028708767616624,-1.1488779681677932,-0.5567941180811984,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-0.7920216806379331,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,-0.20612978489733091
6,1970-01-01 00:00:00.700,0.24564625467750478,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-1.708591601488286,0.34869190896508356,0.731603905950469,-1.5505782319421255,0.2541510714765868,-1.358847767898158,0.3203954501491948,-1.164209200915199,-0.8072467721531458,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-0.7719600064623487,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,-0.2661252197213342
7,1970-01-01 00:00:00.800,-0.4667069763402265,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-1.6260299787413164,0.34869190896508356,0.731603905950469,-1.5506998512048182,0.2541510714765868,-1.358847767898158,-0.7414771255490368,-0.7144974590716616,-0.8838880214866379,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-1.6741679893247394,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,-0.4054964057097263
8,1970-01-01 00:00:00.900,-0.49611605468499526,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,5.012726089667683,1.747977981525001,-1.6229721408617988,0.34869190896508356,0.731603905950469,-1.5369480543288536,0.2541510714765868,-1.358847767898158,-0.8327600132753499,-0.6838353834662942,-0.8838880214866379,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-2.109056973744108,-1.7576160940893,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,-0.43738214783017726
9,1970-01-01 00:00:01.000,-0.49611605468499526,0.1303524978228085,0.6185413173339097,2.5980307277047094,-0.9946169106497442,4.986812895158587,1.747977981525001,-1.6229721408617988,0.34869190896508356,0.731603905950469,-1.5369480543288536,0.2541510714765868,-1.358847767898158,-0.8614949304239018,-0.6838353834662942,-0.9003111463438148,-2.06122491806955,-1.2417846795137228,-1.4810178658169586,1.040523429811,-2.0419729139443037,-1.617735609320616,-0.7901867136678892,-1.60701338215639,music/HCLTSaiCel.wav,-0.4288543379926925
